src,dst,weight
Yorkville East,Mount Hope,16
Alphabet City,Flushing,5
Central Harlem North,Kingsbridge Heights,10
Central Harlem,Westchester Village/Unionport,10
Van Nest/Morris Park,Hillcrest/Pomonok,1
South Jamaica,Jamaica,10
Washington Heights North,JFK Airport,17
Lincoln Square East,South Beach/Dongan Hills,4
Two Bridges/Seward Park,Manhattanville,21
Old Astoria,Jamaica Estates,4
Williamsburg (South Side),Sunset Park East,6
Meatpacking/West Village West,Middle Village,12
Clinton West,Rego Park,9
Financial District South,Spuyten Duyvil/Kingsbridge,20
East Village,Starrett City,3
West Chelsea/Hudson Yards,Riverdale/North Riverdale/Fieldston,19
Upper East Side South,Westerleigh,2
Manhattan Valley,Marble Hill,12
Murray Hill,East Tremont,7
World Trade Center,Laurelton,1
Midtown South,Heartland Village/Todt Hill,4
Midtown Center,College Point,8
Stuyvesant Heights,Little Italy/NoLiTa,3
Columbia Street,Sunset Park East,2
East Harlem North,East Flatbush/Farragut,1
Financial District North,Allerton/Pelham Gardens,5
Upper East Side North,Erasmus,3
Murray Hill,Brownsville,12
Inwood Hill Park,Marble Hill,1
Pelham Parkway,Belmont,1
North Corona,Mott Haven/Port Morris,1
Astoria,Bensonhurst West,5
West Village,Port Richmond,2
Financial District South,Manhattan Beach,3
Saint Michaels Cemetery/Woodside,East Harlem South,1
Bellerose,JFK Airport,3
Clinton West,Inwood Hill Park,8
Financial District South,Richmond Hill,4
Elmhurst,Cobble Hill,3
Bayside,Bay Terrace/Fort Totten,2
University Heights/Morris Heights,Financial District South,1
East Harlem South,East Flushing,2
Douglaston,Whitestone,1
Central Harlem,East Williamsburg,1
Bushwick North,Canarsie,2
Fresh Meadows,Flushing Meadows-Corona Park,1
Maspeth,Upper East Side North,1
Ocean Hill,Financial District North,1
Soundview/Castle Hill,Co-Op City,1
NA,Astoria,2
West Farms/Bronx River,East Concourse/Concourse Village,2
World Trade Center,Allerton/Pelham Gardens,3
Kew Gardens,West Village,1
Cobble Hill,South Ozone Park,2
Gravesend,Financial District North,1
Crown Heights North,Kew Gardens Hills,1
NA,Bloomingdale,1
Alphabet City,Inwood Hill Park,1
Financial District North,Breezy Point/Fort Tilden/Riis Beach,2
Clinton Hill,University Heights/Morris Heights,1
Long Island City/Queens Plaza,Woodlawn/Wakefield,1
Midtown North,East Harlem South,1795
Clinton East,Richmond Hill,41
Kips Bay,Penn Station/Madison Sq West,5558
Upper East Side South,Lenox Hill East,16767
Upper East Side South,Long Island City/Queens Plaza,222
Greenwich Village North,Briarwood/Jamaica Hills,10
East Village,Sunset Park East,141
JFK Airport,Central Harlem North,960
Greenwich Village North,Flatiron,6110
JFK Airport,Corona,585
Upper West Side North,Greenwich Village North,452
SoHo,Midtown East,1146
Rego Park,NA,6
Murray Hill,Central Harlem,608
Upper East Side South,Battery Park City,926
Long Island City/Queens Plaza,Lenox Hill East,305
Penn Station/Madison Sq West,Meatpacking/West Village West,4158
Greenwich Village South,Central Park,464
Stuy Town/Peter Cooper Village,Financial District North,415
Manhattan Valley,Seaport,29
TriBeCa/Civic Center,Greenwich Village South,4028
LaGuardia Airport,Coney Island,35
World Trade Center,Upper West Side South,300
West Village,NA,231
Lenox Hill East,Murray Hill-Queens,11
Greenwich Village South,Upper West Side North,794
Williamsburg (South Side),East Village,349
Little Italy/NoLiTa,Lincoln Square West,403
NV,Boerum Hill,45
Battery Park,Garment District,69
Midtown Center,Astoria,1120
Gramercy,West Concourse,16
Seaport,Times Sq/Theatre District,274
JFK Airport,Soundview/Bruckner,81
Upper East Side North,East Concourse/Concourse Village,133
Lincoln Square East,West Concourse,75
TriBeCa/Civic Center,Prospect Heights,308
Lenox Hill West,Longwood,22
Flushing Meadows-Corona Park,Times Sq/Theatre District,49
Upper East Side North,Bay Ridge,35
East Elmhurst,Old Astoria,11
Highbridge,East Harlem North,6
Greenwich Village North,Jamaica Estates,4
Mott Haven/Port Morris,Astoria,4
Sutton Place/Turtle Bay North,College Point,11
Upper East Side North,Westchester Village/Unionport,22
Steinway,Carroll Gardens,2
Clinton Hill,Melrose South,3
Upper East Side North,Bedford Park,21
Clinton East,Sunset Park East,53
NV,Crown Heights South,15
Crotona Park East,Inwood,1
Clinton East,East New York/Pennsylvania Avenue,8
Downtown Brooklyn/MetroTech,Sutton Place/Turtle Bay North,102
Morningside Heights,Kips Bay,77
Williamsburg (North Side),Seaport,16
Bensonhurst West,Bensonhurst East,4
Little Italy/NoLiTa,Manhattanville,38
Lincoln Square East,Middle Village,22
Washington Heights North,West Concourse,12
Penn Station/Madison Sq West,University Heights/Morris Heights,57
Penn Station/Madison Sq West,Midwood,24
Carroll Gardens,Richmond Hill,1
LaGuardia Airport,Van Nest/Morris Park,123
Crown Heights South,NA,3
West Concourse,Inwood,4
Yorkville East,Kensington,5
East Tremont,Crown Heights South,1
World Trade Center,Windsor Terrace,78
SoHo,Maspeth,13
Union Sq,Bensonhurst East,28
East Tremont,Two Bridges/Seward Park,1
Maspeth,South Ozone Park,3
Two Bridges/Seward Park,Hillcrest/Pomonok,2
Midtown North,Briarwood/Jamaica Hills,25
Gramercy,Madison,15
Manhattanville,Midtown East,39
Jamaica Estates,Jamaica,3
Jamaica Estates,Richmond Hill,1
South Jamaica,Flushing Meadows-Corona Park,3
Red Hook,Battery Park City,7
Stuy Town/Peter Cooper Village,East Flatbush/Farragut,1
East Village,East New York/Pennsylvania Avenue,14
Manhattanville,Clinton Hill,6
Crown Heights North,Battery Park City,4
Washington Heights South,Battery Park,3
Inwood,Greenwich Village North,2
Sheepshead Bay,Madison,4
Seaport,Midwood,6
Long Island City/Queens Plaza,Brighton Beach,1
Maspeth,Sunnyside,5
Stuyvesant Heights,Morrisania/Melrose,1
Sunnyside,Saint Albans,1
Cobble Hill,Kensington,16
Gramercy,Fresh Meadows,2
Flushing Meadows-Corona Park,Steinway,2
Columbia Street,Sutton Place/Turtle Bay North,1
Corona,Lenox Hill West,2
Springfield Gardens South,East Harlem North,2
East Elmhurst,Whitestone,2
Marine Park/Floyd Bennett Field,Sunset Park West,1
Elmhurst,Inwood Hill Park,1
Central Harlem North,Borough Park,1
Elmhurst,Brownsville,1
Cypress Hills,Bath Beach,1
Queensbridge/Ravenswood,Coney Island,2
Hamilton Heights,Pelham Bay,1
Laurelton,South Ozone Park,1
Bedford,South Jamaica,1
Red Hook,SoHo,2
UN/Turtle Bay South,Randalls Island,1
Little Italy/NoLiTa,Morrisania/Melrose,4
Sunset Park West,South Ozone Park,2
Financial District North,Laurelton,1
Springfield Gardens North,Rosedale,1
Jamaica Estates,Howard Beach,1
Erasmus,Gowanus,1
Stuyvesant Heights,Yorkville West,1
Homecrest,Ocean Parkway South,2
Clinton West,Ocean Parkway South,2
NV,Glen Oaks,1
Fort Greene,Cambria Heights,1
Kensington,Midtown Center,1
Seaport,Seaport,343
Battery Park City,UN/Turtle Bay South,1031
East Chelsea,Upper East Side North,2113
Bedford,Greenpoint,50
Alphabet City,UN/Turtle Bay South,473
Upper West Side South,Kips Bay,645
Financial District North,Battery Park City,2589
Greenwich Village South,Lenox Hill East,799
Carroll Gardens,East Village,72
Kips Bay,Bloomingdale,92
Clinton Hill,Gramercy,12
Alphabet City,Prospect Heights,47
Bloomingdale,Central Harlem North,753
Midtown East,Washington Heights South,422
Midtown Center,TriBeCa/Civic Center,4295
East Harlem North,Bronxdale,13
Elmhurst,Elmhurst/Maspeth,146
Long Island City/Queens Plaza,Yorkville West,152
West Chelsea/Hudson Yards,Union Sq,6133
Hudson Sq,TriBeCa/Civic Center,3755
TriBeCa/Civic Center,Central Harlem North,187
Washington Heights South,LaGuardia Airport,86
Sutton Place/Turtle Bay North,Lincoln Square West,1179
Bay Ridge,Bensonhurst West,20
Morningside Heights,SoHo,46
East Harlem South,Little Italy/NoLiTa,46
Sunnyside,Lenox Hill West,306
Lower East Side,Bloomingdale,177
Lower East Side,Queensbridge/Ravenswood,24
Murray Hill,Bushwick North,93
Woodside,Greenwich Village South,6
South Ozone Park,JFK Airport,97
East Harlem North,Murray Hill,150
Greenwich Village North,NV,163
NV,Greenwich Village North,309
West Concourse,Soundview/Castle Hill,6
East Chelsea,Brownsville,22
East Harlem North,East Elmhurst,17
Washington Heights North,Clinton West,23
Clinton East,Brooklyn Heights,356
Murray Hill,Pelham Bay,13
West Village,Madison,32
Hudson Sq,Bushwick North,86
DUMBO/Vinegar Hill,Seaport,40
Williamsburg (North Side),Lenox Hill East,43
Prospect Heights,Prospect Heights,193
TriBeCa/Civic Center,Long Island City/Hunters Point,205
Washington Heights South,Pelham Parkway,11
Yorkville West,Windsor Terrace,21
Williamsburg (South Side),East New York,21
Jackson Heights,Prospect Heights,2
Lincoln Square West,West Farms/Bronx River,13
Old Astoria,Greenwich Village South,16
Midtown South,Manhattanville,148
Williamsburg (North Side),Mount Hope,2
Murray Hill,Melrose South,32
Clinton Hill,Hillcrest/Pomonok,2
Washington Heights North,Longwood,1
Midtown South,Midwood,37
Greenwich Village North,Madison,11
Manhattanville,TriBeCa/Civic Center,23
Midtown East,Crotona Park East,14
Williamsburg (North Side),Midtown North,38
Kensington,Carroll Gardens,6
Midtown Center,Van Cortlandt Park,3
Greenwich Village North,Pelham Parkway,5
Steinway,Richmond Hill,18
Williamsburg (North Side),Murray Hill-Queens,5
Jackson Heights,Two Bridges/Seward Park,12
East Harlem South,Auburndale,2
NA,Saint Albans,3
Battery Park,Upper East Side North,17
TriBeCa/Civic Center,Cypress Hills,38
Midtown North,Queens Village,6
Two Bridges/Seward Park,Soundview/Bruckner,1
Upper West Side South,Midwood,4
Schuylerville/Edgewater Park,East Village,1
Midtown East,Rockaway Park,6
West Chelsea/Hudson Yards,Flushing,7
Bedford,Gramercy,3
Lower East Side,New Dorp/Midland Beach,2
South Williamsburg,Hudson Sq,1
Bath Beach,East New York,1
Penn Station/Madison Sq West,Heartland Village/Todt Hill,6
Jackson Heights,Lenox Hill West,15
Upper West Side South,Erasmus,10
Financial District South,West Farms/Bronx River,5
Upper East Side North,Laurelton,3
Financial District South,Bedford Park,3
Astoria,Fordham South,2
Sunnyside,West Concourse,13
Carroll Gardens,Erasmus,3
Forest Hills,Central Park,1
NV,Madison,9
South Ozone Park,Greenwich Village North,2
Kips Bay,Cypress Hills,12
Garment District,Flushing Meadows-Corona Park,8
Brighton Beach,Financial District North,1
Financial District North,North Corona,5
Soundview/Bruckner,Washington Heights South,2
Springfield Gardens South,Lower East Side,6
Greenwich Village South,Highbridge Park,5
Mount Hope,Clinton East,1
TriBeCa/Civic Center,Oakwood,1
Clinton Hill,Flatlands,4
Windsor Terrace,SoHo,3
Midwood,East Flatbush/Farragut,1
Washington Heights North,Fordham South,2
Carroll Gardens,Woodside,3
World Trade Center,South Ozone Park,7
Sunset Park East,Sunnyside,1
West Concourse,Central Park,5
Chinatown,Middle Village,5
Baisley Park,North Corona,1
Fort Greene,Murray Hill-Queens,1
Flatbush/Ditmas Park,Midtown East,1
Williamsbridge/Olinville,Highbridge,1
JFK Airport,Jamaica,866
Midtown North,Times Sq/Theatre District,11649
Manhattanville,Washington Heights South,430
JFK Airport,Midtown East,5101
West Concourse,University Heights/Morris Heights,22
Yorkville East,Midtown Center,3439
Midtown North,Lenox Hill West,6789
NV,Clinton East,638
Elmhurst,Sunnyside,135
Astoria,Pelham Parkway,2
East Village,Brooklyn Heights,1156
Morningside Heights,Clinton East,650
Upper East Side South,Sunnyside,597
Clinton East,Greenwich Village South,1657
Midtown East,Clinton Hill,217
Long Island City/Hunters Point,LaGuardia Airport,103
Times Sq/Theatre District,Manhattan Valley,1860
Astoria,Financial District South,37
Hamilton Heights,Marble Hill,7
Chinatown,Highbridge,5
Union Sq,Upper East Side North,4044
Alphabet City,Greenwich Village South,1170
NV,East Harlem South,275
Morningside Heights,West Village,130
Downtown Brooklyn/MetroTech,Kensington,32
Upper West Side North,Lower East Side,172
Astoria,Cobble Hill,3
Elmhurst/Maspeth,College Point,1
UN/Turtle Bay South,NA,174
Hamilton Heights,West Concourse,97
Boerum Hill,Stuy Town/Peter Cooper Village,13
Lenox Hill West,Hamilton Heights,262
Financial District North,Oakland Gardens,8
South Williamsburg,Park Slope,10
Meatpacking/West Village West,Kensington,28
Upper East Side North,Bedford,75
Lincoln Square West,Prospect Heights,23
Jackson Heights,Upper West Side South,5
Sunnyside,Fresh Meadows,3
Lenox Hill East,Financial District North,1187
Two Bridges/Seward Park,Old Astoria,28
Union Sq,Woodside,182
Central Harlem,Melrose South,71
Meatpacking/West Village West,Erasmus,9
Williamsburg (South Side),Greenwich Village North,64
Stuyvesant Heights,East Flatbush/Remsen Village,9
East Harlem South,Williamsburg (South Side),14
Clinton West,Parkchester,14
Columbia Street,Downtown Brooklyn/MetroTech,17
Park Slope,Murray Hill,57
Stuyvesant Heights,Howard Beach,1
West Chelsea/Hudson Yards,Crown Heights North,128
DUMBO/Vinegar Hill,Upper West Side North,23
Melrose South,Westchester Village/Unionport,2
TriBeCa/Civic Center,Middle Village,18
West Village,Morrisania/Melrose,5
West Chelsea/Hudson Yards,Prospect Heights,98
East Chelsea,Gowanus,74
Times Sq/Theatre District,Jamaica,25
East Chelsea,East Elmhurst,35
Windsor Terrace,Midwood,4
Gravesend,Canarsie,2
East Chelsea,Madison,19
Richmond Hill,South Jamaica,2
Queensbridge/Ravenswood,Crotona Park East,2
Columbia Street,Flatlands,1
East Flatbush/Remsen Village,Fort Greene,3
Midtown North,Mount Hope,19
Midtown South,Kew Gardens,46
Greenwich Village South,Canarsie,14
University Heights/Morris Heights,Norwood,1
Midtown East,Astoria Park,5
Carroll Gardens,UN/Turtle Bay South,62
Yorkville East,Carroll Gardens,27
Sunset Park West,Newark Airport,1
Two Bridges/Seward Park,Bensonhurst West,3
Greenwich Village South,Parkchester,6
Yorkville East,Kew Gardens,7
Briarwood/Jamaica Hills,Union Sq,10
Meatpacking/West Village West,East Flatbush/Remsen Village,7
Glendale,Bushwick North,2
East Elmhurst,Queens Village,2
Flushing Meadows-Corona Park,Yorkville East,7
Upper East Side North,Prospect Park,6
Sunset Park West,Central Park,1
Times Sq/Theatre District,Murray Hill-Queens,25
Flatiron,Saint Albans,2
Chinatown,West Farms/Bronx River,2
Woodside,East Flushing,1
Bushwick North,Cobble Hill,1
Rego Park,Bushwick South,2
Two Bridges/Seward Park,East New York/Pennsylvania Avenue,2
East Harlem North,Rockaway Park,1
Canarsie,Kensington,1
West Chelsea/Hudson Yards,Highbridge Park,2
Long Island City/Queens Plaza,Brooklyn Navy Yard,3
Bedford,NV,4
Hudson Sq,East Flatbush/Remsen Village,3
Gramercy,Douglaston,2
Kingsbridge Heights,Times Sq/Theatre District,1
Crown Heights South,Middle Village,1
East Williamsburg,Far Rockaway,1
Bensonhurst West,Little Italy/NoLiTa,1
Riverdale/North Riverdale/Fieldston,West Concourse,1
Yorkville West,East New York,3
Corona,Glendale,1
Carroll Gardens,Long Island City/Queens Plaza,3
Sunnyside,Far Rockaway,1
Flushing,Murray Hill,1
Van Nest/Morris Park,Soundview/Bruckner,1
Crown Heights South,West Chelsea/Hudson Yards,1
Glendale,Sutton Place/Turtle Bay North,1
Battery Park,Allerton/Pelham Gardens,1
Upper West Side South,Jamaica Estates,2
Morningside Heights,Briarwood/Jamaica Hills,2
Woodside,Mount Hope,1
East Williamsburg,Marine Park/Mill Basin,1
Lower East Side,Astoria,790
Midtown East,Sunnyside,759
Clinton West,Central Harlem North,471
West Village,East Williamsburg,759
East Chelsea,Crown Heights South,51
Clinton West,Crown Heights North,85
Battery Park City,Newark Airport,410
Cobble Hill,Brooklyn Heights,962
East Harlem North,Penn Station/Madison Sq West,117
UN/Turtle Bay South,Chinatown,282
University Heights/Morris Heights,Eastchester,2
Financial District North,Garment District,708
Long Island City/Hunters Point,East Village,55
Two Bridges/Seward Park,Little Italy/NoLiTa,508
Financial District South,Williamsbridge/Olinville,6
East Harlem South,Mott Haven/Port Morris,410
West Village,Newark Airport,228
Brooklyn Navy Yard,Sutton Place/Turtle Bay North,2
Two Bridges/Seward Park,East Village,1521
Little Italy/NoLiTa,Garment District,1192
Upper West Side North,Two Bridges/Seward Park,116
Battery Park City,Seaport,872
World Trade Center,Garment District,944
Hamilton Heights,Yorkville West,81
Hudson Sq,West Chelsea/Hudson Yards,1412
LaGuardia Airport,Flatlands,115
UN/Turtle Bay South,Hamilton Heights,104
Gramercy,SoHo,2234
Cobble Hill,East Williamsburg,24
Little Italy/NoLiTa,Central Park,387
Washington Heights North,Central Harlem North,44
LaGuardia Airport,NV,369
Central Harlem North,Bloomingdale,164
JFK Airport,Oakland Gardens,288
West Village,World Trade Center,1455
Washington Heights South,Upper East Side North,124
East Harlem North,Flushing,14
World Trade Center,Prospect Heights,77
Gramercy,Maspeth,64
Central Harlem North,Lincoln Square West,46
Flatbush/Ditmas Park,Old Astoria,1
Midtown South,Prospect Heights,157
Central Harlem North,Union Sq,31
Midtown East,Brooklyn Navy Yard,16
Two Bridges/Seward Park,Washington Heights South,39
NV,UN/Turtle Bay South,291
TriBeCa/Civic Center,East Williamsburg,365
Lincoln Square East,East Concourse/Concourse Village,61
East Village,Inwood,181
Upper West Side North,Longwood,16
Baisley Park,Rosedale,2
Washington Heights North,Old Astoria,3
Central Harlem North,Bedford Park,15
East Williamsburg,Kensington,9
Hunts Point,Gramercy,1
Soundview/Castle Hill,Soundview/Castle Hill,34
East Harlem South,Ridgewood,9
Lower East Side,East Concourse/Concourse Village,41
UN/Turtle Bay South,Pelham Parkway,7
Woodside,Rego Park,30
West Village,Gowanus,196
Kips Bay,Long Island City/Queens Plaza,93
East Williamsburg,SoHo,18
Times Sq/Theatre District,Corona,70
Hamilton Heights,Bronx Park,4
Queensbridge/Ravenswood,Steinway,52
Bedford Park,University Heights/Morris Heights,4
Prospect Park,Lenox Hill West,2
Lower East Side,Howard Beach,16
Meatpacking/West Village West,Mount Hope,7
Boerum Hill,Penn Station/Madison Sq West,48
West Concourse,Yorkville West,8
Manhattan Valley,Long Island City/Queens Plaza,25
Carroll Gardens,Central Harlem,1
East Village,Bay Terrace/Fort Totten,9
Lincoln Square West,North Corona,7
Old Astoria,Bushwick North,4
Gravesend,Flushing Meadows-Corona Park,1
Manhattan Valley,Hunts Point,10
Midtown North,Woodlawn/Wakefield,5
Woodside,Midtown South,24
Astoria,Jamaica Estates,4
Steinway,East Williamsburg,6
Jamaica Estates,Jamaica Estates,9
West Concourse,Old Astoria,2
Van Cortlandt Village,Fordham South,2
Jamaica,Van Nest/Morris Park,1
Brownsville,Ocean Hill,7
Williamsburg (South Side),Morningside Heights,4
